Date,Open,High,Low,Close,Volume
01/03/2006,49.5000,49.5000,48.4100,48.7400,"3,873,000"
01/04/2006,48.5200,48.8800,48.5100,48.7500,"3,260,300"
01/05/2006,49.7500,54.9500,49.6000,53.1800,"21,313,900"
01/06/2006,52.9000,54.7700,52.7000,53.8000,"10,098,200"
01/09/2006,53.6100,54.6500,53.6000,54.3000,"5,441,900"
01/10/2006,53.7800,54.1100,53.3800,53.7600,"2,904,200"
01/11/2006,54.4000,55.5500,54.3900,55.5000,"6,106,300"
01/12/2006,55.5000,55.5100,54.7000,54.9000,"3,901,800"
01/13/2006,54.9100,54.9100,54.1900,54.4400,"4,330,500"
01/17/2006,54.3700,54.3800,53.7800,53.9800,"3,193,300"
01/18/2006,53.9800,54.2085,53.0400,53.2600,"3,393,500"
01/19/2006,54.1000,54.3000,53.6500,54.1000,"2,781,500"
01/20/2006,54.0000,54.3800,53.1200,53.2100,"4,323,800"
01/23/2006,53.2500,53.5200,52.6000,53.0600,"3,599,600"
01/24/2006,53.0200,53.9500,53.0200,53.7400,"2,520,300"
01/25/2006,53.7200,54.1000,53.4000,54.1000,"2,725,800"
01/26/2006,55.0000,57.1200,54.9500,56.9500,"6,879,900"
01/27/2006,57.0000,58.4100,56.9500,57.9000,"7,467,000"
01/30/2006,56.9100,58.2100,56.9100,57.8300,"15,981,300"
01/31/2006,57.6000,58.6000,57.2720,57.9400,"4,710,000"
02/01/2006,57.5000,57.8400,57.3800,57.5800,"3,753,100"
02/02/2006,57.6200,57.8400,57.1000,57.4000,"5,478,300"
02/03/2006,56.5500,56.5500,55.5000,55.9600,"4,082,700"
02/06/2006,55.7600,56.3100,55.5400,56.0000,"2,600,600"
02/07/2006,55.7200,56.0900,53.8200,54.2400,"4,330,100"
02/08/2006,54.5600,55.0000,54.1600,54.6300,"2,759,300"
02/09/2006,54.9000,55.8100,54.5000,54.6400,"2,612,400"
02/10/2006,54.4400,55.0000,53.8800,54.6400,"1,988,900"
02/13/2006,54.6500,54.7300,53.7300,54.1000,"2,037,800"
02/14/2006,54.3000,54.8400,53.6400,54.6400,"3,316,800"
02/15/2006,54.7700,54.7700,53.7200,54.3500,"1,670,300"
02/16/2006,54.2200,55.0900,54.1400,55.0800,"1,872,400"
02/17/2006,55.0100,55.0300,54.0900,54.5000,"2,541,900"
02/21/2006,54.5000,54.8800,53.9700,54.0300,"2,341,300"
02/22/2006,54.4500,56.2200,54.3200,55.9100,"3,042,100"
02/23/2006,58.2000,58.5000,55.9100,57.1400,"8,071,000"
02/24/2006,55.9450,57.1400,55.9450,56.0700,"2,676,300"
02/27/2006,56.5000,56.7500,55.7800,56.0000,"1,723,400"
02/28/2006,55.2000,56.3000,54.5400,54.6800,"2,908,300"
03/01/2006,54.5900,56.4500,54.2200,55.8200,"3,075,800"
03/02/2006,55.0100,55.5500,54.4900,54.8500,"2,411,200"
03/03/2006,54.6000,55.0500,54.4000,54.5200,"2,200,000"
03/06/2006,54.5300,54.8700,53.6000,53.8300,"2,488,100"
03/07/2006,53.6000,54.6300,53.4100,54.5500,"2,163,000"
03/08/2006,54.7900,54.8700,53.5200,54.1100,"2,740,900"
03/09/2006,53.9900,54.3600,53.6000,53.6700,"2,163,100"
03/10/2006,54.2100,54.2700,53.3900,53.9300,"2,186,500"
03/13/2006,53.7000,53.9500,52.9600,52.9700,"3,577,800"
03/14/2006,52.9700,53.4900,52.6500,53.2500,"3,872,400"
03/15/2006,53.4200,53.5300,53.2000,53.3500,"2,219,900"
03/16/2006,53.5500,53.7000,53.2400,53.4300,"2,824,200"
03/17/2006,53.5000,53.8600,53.1300,53.4000,"2,814,300"
03/20/2006,53.2000,54.7200,53.2000,54.4200,"2,163,000"
03/21/2006,54.5700,54.6900,53.3600,53.5700,"2,009,000"
03/22/2006,53.3600,54.6300,53.2400,54.5600,"1,957,600"
03/23/2006,54.4500,54.8100,53.7800,54.5300,"1,833,200"
03/24/2006,54.2800,54.8900,54.0500,54.1700,"1,510,200"
03/27/2006,53.9000,54.3300,53.7500,54.0600,"3,135,600"
03/28/2006,54.0100,54.4300,53.2000,53.4000,"3,568,600"
03/29/2006,53.2400,53.5600,52.5500,52.6300,"2,116,500"
03/30/2006,51.8300,52.4600,51.3400,51.8000,"4,314,600"
03/31/2006,52.0500,52.2600,51.2900,51.4000,"3,007,500"
04/03/2006,51.7700,52.0500,50.9400,51.1000,"2,955,200"
04/04/2006,51.4300,53.6300,51.1400,53.1700,"4,490,400"
04/05/2006,53.1700,54.5300,53.0000,54.0900,"4,388,900"
04/06/2006,53.7000,53.9300,53.3800,53.7800,"2,264,800"
04/07/2006,53.7500,54.0200,52.8600,53.3200,"2,125,200"
04/10/2006,53.5700,54.1400,53.3800,53.4800,"1,665,600"
04/11/2006,53.7000,53.9500,52.2800,52.4700,"1,972,000"
04/12/2006,52.4700,52.7200,52.0400,52.4500,"1,808,200"
04/13/2006,52.1900,52.4900,51.9600,52.4000,"1,662,800"
04/17/2006,52.7200,53.2000,52.4100,52.5000,"1,527,900"
04/18/2006,50.0000,53.4900,50.0000,53.3500,"3,369,200"
04/19/2006,53.1000,53.6500,52.5600,52.6200,"1,735,100"
04/20/2006,52.4100,53.1900,51.9500,52.7800,"2,292,300"
04/21/2006,53.2500,53.2600,51.5700,52.2500,"2,106,100"
04/24/2006,52.1900,52.2200,51.4100,51.8000,"1,789,700"
04/25/2006,51.8000,51.9100,51.1500,51.4600,"3,851,100"
04/26/2006,51.6000,51.8900,50.9300,51.2500,"2,927,800"
04/27/2006,51.2500,51.6900,50.7700,51.3800,"3,102,600"
04/28/2006,51.4500,51.5800,50.2900,50.6000,"3,412,000"
05/01/2006,50.8500,50.9700,49.5100,49.9000,"4,050,500"
05/02/2006,49.9000,50.8800,49.8700,50.5100,"2,418,800"
05/03/2006,50.5600,51.1000,50.4300,50.7700,"1,593,200"
05/04/2006,50.7800,50.8400,50.1500,50.4200,"1,912,300"
05/05/2006,50.7900,51.8200,50.4200,51.4100,"3,207,100"
05/08/2006,51.1300,51.8000,49.7700,50.1400,"4,222,600"
05/09/2006,50.9500,51.9000,50.7500,51.5200,"3,153,000"
05/10/2006,51.6800,51.8100,51.1200,51.5000,"3,449,600"
05/11/2006,51.2600,51.6200,50.4100,50.7500,"16,154,000"
05/12/2006,50.7600,51.3900,50.7300,50.8600,"2,922,400"
05/15/2006,51.1100,51.2800,50.7700,51.1900,"2,338,800"
05/16/2006,51.4100,51.4500,50.8600,50.9900,"2,857,900"
05/17/2006,50.5100,50.8000,49.5200,49.8600,"4,241,600"
05/18/2006,49.8600,50.1700,49.4700,49.4700,"3,589,200"
05/19/2006,49.6000,50.1400,49.3100,49.8800,"3,457,400"
05/22/2006,49.8800,50.4700,49.7600,50.2700,"3,513,600"
05/23/2006,50.0000,51.8800,49.8800,50.7200,"8,998,500"
05/24/2006,50.3600,50.6500,49.4400,49.9200,"6,556,200"
05/25/2006,49.9600,50.5800,49.4900,50.5100,"4,940,200"
05/26/2006,50.6400,50.6900,49.9000,50.3900,"3,382,300"
05/30/2006,50.1900,50.4300,49.8100,49.9000,"3,935,200"
05/31/2006,49.9000,50.2800,49.4900,49.7500,"4,076,500"
06/01/2006,50.0300,51.5900,50.0300,51.4400,"4,294,900"
06/02/2006,51.3400,51.7700,50.8901,51.7500,"3,485,000"
06/05/2006,51.4900,51.6400,50.0100,50.0200,"3,411,900"
06/06/2006,49.2600,49.7800,48.2500,49.0800,"6,993,500"
06/07/2006,49.0800,49.7300,49.0600,49.4500,"4,967,500"
06/08/2006,49.4600,49.9400,49.2500,49.8500,"5,511,100"
06/09/2006,49.8500,49.8500,49.0300,49.2600,"3,244,100"
06/12/2006,49.3600,49.3900,47.8400,47.9000,"4,669,600"
06/13/2006,47.9000,48.6600,47.1500,47.4400,"5,273,900"
06/14/2006,47.3400,47.5800,46.9200,47.2600,"5,188,700"
06/15/2006,47.2500,48.3800,46.9600,48.2100,"4,507,100"
06/16/2006,47.5200,47.8800,47.0600,47.2500,"4,872,800"
06/19/2006,47.5300,47.9400,47.0500,47.1100,"2,343,300"
06/20/2006,46.8400,47.4800,46.4000,47.1600,"2,954,500"
06/21/2006,47.0000,47.7500,46.7300,47.6000,"2,505,500"
06/22/2006,47.5600,47.6300,46.9500,47.0700,"2,458,700"
06/23/2006,46.8200,47.0000,46.3700,46.3700,"2,716,200"
06/26/2006,46.3900,46.7000,46.1700,46.7000,"2,097,900"
06/27/2006,46.7000,46.7000,46.2400,46.4000,"2,846,800"
06/28/2006,46.5100,46.7500,46.2200,46.5200,"2,712,400"
06/29/2006,47.4400,48.3800,47.2200,48.2600,"2,342,800"
06/30/2006,48.1800,48.3700,47.9200,48.1000,"3,807,400"
07/03/2006,48.3500,49.1400,47.9900,48.9900,"1,137,800"
07/05/2006,48.9000,49.4500,48.1200,49.0500,"3,265,700"
07/06/2006,48.9600,49.2016,48.7700,48.9100,"1,274,400"
07/07/2006,48.9500,49.4400,48.5600,49.0000,"1,781,200"
07/10/2006,49.2000,49.9400,49.0900,49.4800,"2,788,100"
07/11/2006,49.5600,49.5600,48.6100,49.1600,"2,179,200"
07/12/2006,49.3100,49.7600,49.0500,49.1000,"2,335,800"
07/13/2006,49.1000,49.1500,47.6600,47.7700,"2,613,600"
07/14/2006,47.7700,47.8301,46.8600,47.0900,"2,939,000"
07/17/2006,46.8700,47.1700,46.5900,46.7900,"1,993,300"
07/18/2006,46.8000,47.1900,46.3000,46.8200,"2,451,300"
07/19/2006,47.2000,48.7400,47.1100,48.5600,"4,673,300"
07/20/2006,48.4800,48.9900,48.4300,48.6600,"1,518,200"
07/21/2006,48.9000,49.0916,47.3600,47.6900,"2,978,200"
07/24/2006,47.8700,49.0100,47.8300,48.6800,"2,138,100"
07/25/2006,49.4000,49.7400,48.2400,48.7100,"1,792,700"
07/26/2006,48.7100,48.8500,47.6700,48.1100,"2,907,300"
07/27/2006,49.0000,49.0000,47.3560,47.6100,"2,339,200"
07/28/2006,48.0100,49.1600,47.7100,49.0300,"2,803,300"
07/31/2006,48.7200,48.8700,47.7700,47.9100,"1,930,000"
08/01/2006,47.4700,47.7300,46.9800,47.4400,"2,254,100"
08/02/2006,47.3500,47.5200,46.9000,47.1900,"3,359,300"
08/03/2006,47.2300,47.8000,46.9900,47.4400,"2,034,100"
08/04/2006,48.0000,48.4200,47.2300,47.5100,"2,425,700"
08/07/2006,47.5200,47.6100,47.2000,47.4600,"1,859,800"
08/08/2006,47.6000,47.8400,47.1600,47.2500,"1,761,800"
08/09/2006,47.5000,47.6400,47.0700,47.3500,"2,083,000"
08/10/2006,47.4500,48.1800,47.1700,47.9200,"2,867,700"
08/11/2006,48.0600,48.1900,47.5200,47.7100,"1,327,100"
08/14/2006,47.9600,48.5800,47.7600,47.8900,"1,362,600"
08/15/2006,48.7000,49.2600,48.2400,48.9200,"2,061,900"
08/16/2006,49.3200,49.3400,48.0701,49.0300,"3,683,000"
08/17/2006,48.8900,49.4000,48.7500,49.2000,"1,801,200"
08/18/2006,49.2100,49.5500,49.0300,49.3300,"1,757,500"
08/21/2006,49.3600,49.7000,49.2200,49.2200,"1,240,300"
08/22/2006,49.2500,49.4600,49.0600,49.3200,"1,421,100"
08/23/2006,49.4400,49.5000,49.0900,49.1700,"1,017,100"
08/24/2006,51.0000,51.9200,50.7600,51.5300,"5,765,300"
08/25/2006,51.3400,51.6000,50.5300,51.1700,"1,980,000"
08/28/2006,51.0600,52.1400,51.0600,51.8200,"2,002,000"
08/29/2006,52.0200,52.9100,51.6400,52.7600,"3,589,100"
08/30/2006,53.0800,53.6300,52.0100,52.6500,"3,137,000"
08/31/2006,52.7000,52.9400,52.2000,52.6500,"2,354,400"
09/01/2006,52.9800,53.1200,52.0000,52.1700,"1,958,700"
09/05/2006,52.2700,52.5900,51.6500,51.9600,"1,884,000"
09/06/2006,51.8200,52.3200,51.5700,51.9100,"2,239,300"
09/07/2006,52.1000,52.2900,51.2200,51.6600,"3,116,400"
09/08/2006,51.8400,52.4300,51.4900,52.3100,"3,422,800"
09/11/2006,52.3200,52.4100,51.6000,51.8300,"1,873,400"
09/12/2006,51.7000,52.8900,51.6600,52.8000,"2,139,600"
09/13/2006,52.5900,53.2000,52.3800,53.0000,"4,616,300"
09/14/2006,52.7600,53.1500,52.7500,52.9000,"1,753,700"
09/15/2006,53.1500,54.3900,52.9800,53.7700,"3,643,900"
09/18/2006,53.7200,54.1800,53.2600,53.7700,"1,823,600"
09/19/2006,53.9600,53.9900,53.1100,53.9000,"1,645,800"
09/20/2006,54.2300,54.7500,53.8700,54.1200,"4,713,600"
