Date,Open,High,Low,Close,Volume
01/03/2006,26.85,27.31,26.67,27.13,"1,520,214"
01/04/2006,27.40,28.05,27.31,27.96,"3,931,480"
01/05/2006,27.77,27.87,27.59,27.87,"1,354,793"
01/06/2006,27.87,28.42,27.59,28.24,"1,878,221"
01/09/2006,28.33,28.97,28.14,28.14,"2,803,665"
01/10/2006,27.96,28.33,27.87,28.05,"1,351,245"
01/11/2006,28.05,28.88,28.05,28.88,"1,824,557"
01/12/2006,28.70,29.07,28.60,29.07,"1,260,470"
01/13/2006,28.88,29.07,28.70,28.88,"1,524,041"
01/16/2006,28.70,29.53,28.60,29.53,"1,170,817"
01/17/2006,29.16,29.53,29.07,29.43,"1,003,573"
01/18/2006,28.88,29.07,28.70,28.88,"1,135,453"
01/19/2006,28.88,29.99,28.88,29.71,"1,699,043"
01/20/2006,29.16,29.71,29.16,29.43,"835,215"
01/23/2006,29.07,29.62,28.79,29.53,"917,530"
01/24/2006,29.53,29.53,28.97,28.97,"861,727"
01/25/2006,29.53,30.27,29.25,30.27,"2,956,868"
01/26/2006,30.36,30.36,29.71,29.90,"1,172,528"
01/27/2006,29.90,30.63,29.80,30.54,"2,548,933"
01/30/2006,30.27,30.45,30.08,30.45,"673,016"
01/31/2006,30.45,30.45,29.16,29.16,"1,027,365"
02/01/2006,29.07,29.99,28.79,29.99,"703,223"
02/02/2006,30.08,30.36,29.71,29.90,"857,026"
02/03/2006,29.62,30.36,28.88,28.88,"1,200,326"
02/06/2006,29.16,30.36,29.16,30.36,"709,824"
02/07/2006,29.99,30.27,29.71,30.17,"579,993"
02/08/2006,29.99,30.36,29.80,30.27,"717,478"
02/09/2006,30.27,30.63,30.17,30.36,"903,107"
02/10/2006,30.08,30.36,29.99,30.17,"628,170"
02/13/2006,30.08,30.36,29.99,30.08,"683,782"
02/14/2006,30.08,30.27,29.90,30.08,"1,058,235"
02/15/2006,29.99,30.36,29.99,30.36,"762,991"
02/16/2006,30.17,30.17,29.34,29.80,"1,037,314"
02/17/2006,29.90,30.91,29.71,30.82,"1,669,123"
02/20/2006,30.73,31.37,30.54,31.37,"1,121,841"
02/21/2006,31.19,31.74,30.91,31.74,"1,103,767"
02/22/2006,31.65,31.65,31.10,31.28,"817,609"
02/23/2006,31.19,31.56,31.10,31.56,"753,633"
02/24/2006,31.37,32.20,31.37,32.20,"747,540"
02/27/2006,32.20,32.76,32.02,32.11,"1,045,647"
02/28/2006,32.02,32.76,31.19,31.93,"1,311,547"
03/01/2006,32.02,32.66,31.65,32.48,"1,057,749"
03/02/2006,32.39,33.03,32.39,33.03,"959,612"
03/03/2006,33.13,33.13,32.39,32.94,"919,114"
03/06/2006,32.57,33.13,32.48,33.13,"1,009,626"
03/07/2006,32.76,32.85,31.56,32.30,"1,504,029"
03/08/2006,32.20,32.30,31.46,31.65,"1,063,406"
03/09/2006,31.65,32.11,31.46,31.65,"786,456"
03/10/2006,31.56,31.74,30.82,31.28,"1,561,686"
03/13/2006,31.28,31.46,30.63,31.10,"676,626"
03/14/2006,30.73,30.91,29.99,29.99,"1,086,072"
03/15/2006,30.63,31.10,30.54,30.82,"742,542"
03/16/2006,30.91,31.83,30.91,31.83,"854,480"
03/17/2006,32.11,32.76,31.83,32.48,"2,205,190"
03/20/2006,32.30,32.39,31.56,31.65,"490,716"
03/21/2006,31.93,32.02,31.37,31.37,"759,876"
03/22/2006,31.28,31.37,30.73,30.91,"1,250,596"
03/23/2006,31.19,31.74,31.10,31.65,"740,936"
03/24/2006,31.83,32.30,31.74,32.11,"547,862"
03/27/2006,32.11,32.20,31.65,32.20,"417,525"
03/28/2006,32.11,32.20,31.46,31.46,"306,863"
03/29/2006,30.91,31.37,30.36,31.28,"610,316"
03/30/2006,31.56,31.93,31.28,31.46,"841,349"
03/31/2006,31.37,32.02,31.37,32.02,"630,777"
04/03/2006,31.83,32.76,31.83,32.66,"781,308"
04/04/2006,32.48,32.57,31.93,32.39,"941,395"
04/05/2006,32.30,32.57,31.46,31.56,"770,601"
04/06/2006,31.83,32.02,31.46,31.93,"1,154,408"
04/07/2006,31.93,32.76,31.93,32.39,"1,190,135"
04/10/2006,32.39,32.66,32.02,32.66,"777,802"
04/11/2006,32.30,32.48,32.02,32.39,"543,776"
04/12/2006,32.30,32.66,32.11,32.66,"244,161"
04/13/2006,32.66,33.13,32.30,32.39,"859,020"
04/18/2006,32.57,33.49,32.48,33.22,"979,798"
04/19/2006,33.49,33.96,33.22,33.96,"736,245"
